"These prophecies about filling the world and being known world over: Preposterous? Perhaps. Unlikely? Undoubtedly. Impossible? Emphatically no. It is happening before our eyes.  L. Whitney Clayton",
"Each day we have the opportunity to give help and service doing the right thing at the right time, without delay. '¦ What can you do to help?  JosÃ© L. Alonso",
"The way to receive personal revelation is really quite clear. We need to desire to receive revelation, we must not harden our hearts, and then we need to ask in faith, truly believe that we will receive an answer, and then diligently keep the commandments.  Barbara Thompson",
"Scriptures are like packets of light that illuminate our minds and give place to guidance and inspiration from on high. They can become the key to open the channel to communion with our Father in Heaven and His Beloved Son, Jesus Christ.  Richard G. Scott ",
"Whoso would hearken unto the word of God, and would hold fast unto it, they would never perish; neither could the temptations and the fiery darts of the adversary overpower them unto blindness, to lead them away to destruction.  1 Nephi 15:24",
"The Lord uses a scale very different from the world's to weigh the worth of a soul. @UchtdorfDF ",
"Who better than the Savior can reach, support, and ultimately rescue the one among the crowd? He understands what it is to persevere among a disrespectful crowd and still remain true.  Dennis B. Neuenschwander",
"Do not let us be slothful because of the easiness of the way; for so was it with our fathers; for so was it prepared for them, that if they would look they might live; even so it is with us. The way is prepared, and if we will look we may live forever.  Alma 37:46",
"Don't let life's distractions eclipse heaven's light. @StevensonGaryE",
"As we accept callings and love and obey the Lord, our personal ministry unfolds. It is a sacred and precious thing. It embraces the people who come and go across the path of our life.  Bonnie D. Parkin",
"He will help you and guide you in compassionate acts of discipleship if you are conscientiously wanting and praying and looking for ways to keep a commandment He has given us again and again. @HollandJeffreyR",
"And also my soul delighteth in the covenants of the Lord which he hath made to our fathers; yea, my soul delighteth in his grace, and in his justice, and power, and mercy in the great and eternal plan of deliverance from death.  2 Nephi 11:5",
"Sometimes in the harbor of our homes, we can't see that by the simple, consistent acts including family prayer, scripture study, and family home evening great things are brought to pass. But I testify that these very acts carry eternal significance.  Neill F. Marriott",
"As you strive to come to Him, you will gain the power to relieve life's burdens, whether physical or spiritual, and experience a positive inner change that will help you be happier.  Eduardo Gavarret",
"Brethren, we hold the holy priesthood of God! We have His authority to bless His people. '¦ It is our privilege to act in the name of Jesus Christ to bless God's children according to His will for them. @NelsonRussellM ",
"Out of perfect love, [Jesus Christ] gave all that we might receive all. His supernal sacrifice, difficult to comprehend, to be felt only with all our heart and mind, reminds us of the universal debt of gratitude we owe Christ for His divine gift. @UchtdorfDF",
"The Father and the Son are distinctly separate beings, but They are perfectly united and one in power and purpose. '¦ They desire this same oneness for everyone who will, with devotion, follow and obey Their commandments.  Christoffel Golden Jr.",
"And now, my brethren, I desire that ye shall plant this word in your hearts, and as it beginneth to swell even so nourish it by your faith. And behold, it will become a tree, springing up in you unto everlasting life.  Alma 33:23",
"Whether [your holy places] are geographic or moments in time, they are equally sacred and have incredible strengthening power.  Ann M. Dibb ",
"The greatest service we can provide to others in this life '¦ is to bring them to Christ through faith and repentance so they may experience His Redemption peace and joy now and immortality and eternal life in the world to come. @ChristoffDTodd",
"Do you prepare yourself to make important decisions by praying to your Heavenly Father? Do you prepare yourself for a moment of prayer?  Juan A. Uceda",
"Trust your Father's eternal plan for you. Continue daily to increase your understanding of the doctrine of Jesus Christ. Exercise faith each day to drink deeply from the Savior's well of living water.  Carole M. Stephens",
"Whosoever will be great among you, let him be your minister; and whosoever will be chief among you, let him be your servant: even as the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.  Matthew 20:26-28",
"It seems there is no better time to communicate love to our children than when praying with them or blessing them. When families gather in humble prayer, powerful and lasting lessons are taught.  Devin G. Durrant ",
"As we follow the examples of the Savior and the Prophet Joseph in earnestly seeking God, we will come to understand in a very real way '¦ that our Father knows us by name, that we are His children.  Brian K. Taylor",
"We must strive to obey all the commandments and pay close attention to those that are hardest for us to keep. The Lord will be at our side, helping us in times of need and weakness.  Claudio D. Zivic",
"Given the reality of our human weaknesses and shortcomings, how do we move forward in supporting and sustaining each other? It begins with faith real, sincere faith in the Lord Jesus Christ. @BallardMRussell",
"Lasting joy is found in focusing on our Savior, Jesus Christ, and living the gospel as demonstrated and taught by Him.  Jean B. Bingham",
"Repentance is God's ever-accessible gift that allows and enables us to go from failure to failure without any loss of enthusiasm. Repentance isn't His backup plan in the event we might fail. Repentance is His plan, knowing that we will.  Lynn G. Robbins ",
"Ye must not perform any thing unto the Lord save in the first place ye shall pray unto the Father in the name of Christ, that he will consecrate thy performance unto thee, that thy performance may be for the welfare of thy soul.  2 Nephi 32:9",
"When ordinances are performed on behalf of the deceased, God's children on earth are healed. @DaleGRenlund",
"Being ambitious for Christ will seldom mean that we are singled out for public honor. Being ambitious for Christ means that we serve faithfully and diligently in our wards and branches without complaint and with joyful hearts.  Kazuhiko Yamashita",
"I say unto you that if ye will enter in by the way, and receive the Holy Ghost, it will show unto you all things what ye should do.  2 Nephi 32:5",
"The pain of loneliness seems to be part of the mortal experience. But the Lord in His mercy has made it so that we need never deal with the challenges of mortality alone.  Sheri L. Dew ",
"What is most important in our Church responsibilities is not the statistics '¦ but whether or not individual people ministered to one at a time just as the Savior did have been lifted and encouraged and ultimately changed. @BallardMRussell",
"We are raising our children in enemy-occupied territory. The homes of our members must become the primary sanctuaries of our faith, where each can be safe from the sins of the world. @NelsonRussellM ",
"Then came Peter to him, and said, Lord, how oft shall my brother sin against me, and I forgive him? till seven times? Jesus saith unto him, I say not unto thee, Until seven times: but, Until seventy times seven.  Matthew 18:21-22",
"We must each ask: How do I keep centered and lean not unto my own understanding? How do I recognize and follow the Savior's voice when the voices of the world are so compelling? How do I cultivate trust in the Savior?  Bonnie H. Cordon",
"The Church is all about people. It is all about you, the Lord's disciples those who love and follow Him and who have taken His name upon them by covenant.  GÃ©rald CaussÃ©",
"The Melchizedek Priesthood is not a status or a label. It is a divine power held in trust to use for the benefit of God's work for His children. @OaksDallinH",
"Our hope for holiness is centered in Christ, in His mercy and His grace. With faith in Jesus Christ and His Atonement, we may become clean, without spot, when we deny ourselves of ungodliness and sincerely repent.  Carol F. McConkie",
"Let us draw ourselves near to Him by preparing for and partaking of the sacred emblems of His atoning sacrifice weekly during the ordinance of the sacrament and as we keep covenants by serving others in their times of need.  Linda K. Burton",
"The woman then left her waterpot, and went her way into the city, and saith to the men, Come, see a man, which told me all things that ever I did: is not this the Christ?  John 4:28-29 ",
"As you study Christ's life and teachings in a myriad of ways, your faith in Him will increase. You will come to know that He loves you individually and understands you perfectly.  Jean B. Bingham",
"Sometimes '¦ we don't see that some of the most significant needs we can meet are within our own families, among our friends, in our wards, and in our communities.  Bonnie L. Oscarson",
"Love without service is like faith without works; it's dead indeed.  Jose L. Alonso ",
"The Lord hath appeared of old unto me, saying, Yea, I have loved thee with an everlasting love: therefore with lovingkindness have I drawn thee.  Jeremiah 31:3",
"We need to continually deepen our knowledge of and obedience to Heavenly Father. Our relationship with Him is eternal. We are His beloved children, and that will not change.  Neill F. Marriott",
"Anyone who claims superiority under the Father's plan because of characteristics like race, sex, nationality, language, or economic circumstances is morally wrong and does not understand the Lord's true purpose for all of our Father's children. @CookQuentinL",
"Imagine the miracle of it! Whatever our Church calling, we can pray to our Heavenly Father and receive guidance and direction, be warned about dangers and distractions, and be enabled to accomplish things we simply could not do on our own. @NelsonRussellM",
"For the mountains shall depart and the hills be removed, but my kindness shall not depart from thee, neither shall the covenant of my peace be removed, saith the Lord that hath mercy on thee.  3 Nephi 22:10",
"Our spiritual roots go deeper as sincere personal and family prayer become bastions of our faith and as we repent daily, seek the companionship of the Holy Ghost, and learn of our Savior and His attributes and strive to become like Him.  Ian S. Ardern ",
"Being happy doesn't mean to slap a plastic smile on your face no matter what is going on. But it does mean keeping the laws of God and building and lifting others.  Sharon Eubank",
"A prophet does not stand between you and the Savior. Rather, he stands beside you and points the way to the Savior. A prophet's greatest responsibility and most precious gift to us is his sure witness, his certain knowledge, that Jesus is the Christ. @AndersenNeilL",
"To all of our mothers everywhere, past, present, or future, I say, 'Thank you. Thank you for giving birth, for shaping souls, for forming character, and for demonstrating the pure love of Christ.' @HollandJeffreyR",
"Take the time to read the [general] conference messages '¦ , for they are deserving of our careful review and study.  Thomas S. Monson",
"And now behold, I ask of you, my brethren of the church, have ye spiritually been born of God? Have ye received his image in your countenances? Have ye experienced this mighty change in your hearts?  Alma 5:14",
"Each member should know how much he or she is needed. Each person has something important to contribute and has unique talents and abilities that help move this important work along.  Bonnie L. Oscarson ",
"True disciples love to serve. They know that serving is an expression of true love and a covenant they made at baptism.  Massimo De Feo",
"The Christlike quality of meekness often is misunderstood in our contemporary world. Meekness is strong, not weak; active, not passive; courageous, not timid; restrained, not excessive; modest, not self-aggrandizing; and gracious, not brash. @BednarDavidA",
"There is a God, and he hath created all things, both the heavens and the earth, and all things that in them are, both things to act and things to be acted upon.  2 Nephi 2:14",
"Sometimes we think we have to do something grand and heroic to 'count' as serving our neighbors. Yet simple acts of service can have profound effects on others as well as on ourselves.  Jean B. Bingham ",
"Decide now to make general conference a priority in your life. Decide to listen carefully and follow the teachings that are given. Listen to or read the talks more than once to better understand and follow the counsel.  Paul V. Johnson",
"But when thou doest alms, let not thy left hand know what thy right hand doeth: that thine alms may be in secret: and thy Father which seeth in secret himself shall reward thee openly.  Matthew 6:3-4",
"Never stop striving for the best that is within you. Never stop hoping for all of the righteous desires of your heart. But don't close your eyes and hearts to the simple and elegant beauties of each day's ordinary moments that make up a rich, well-lived life. @UchtdorfDF ",
